episode,event,passed_gates,elapsed_s,path_length_m,avg_speed_mps,time_per_meter_s_per_m,collision_type,miss_direction,spawn_x,spawn_y_gz,spawn_y_train,spawn_theta,gate1_center_y_train,gate2_center_y_train,gate3_center_y_train,end_x,end_y_gz,end_y_train,end_theta
75,success,3,23.3626,3.9954,0.171,5.8473,,,0.309,-0.4141,0.5859,0.0897,1.1086,1.0767,1.0598,4.1261,-0.0039,0.9961,0.0791
76,collision,0,9.5252,0.2026,0.0213,47.0147,gate_pole,,1.683,0.2297,1.2297,0.1496,0.921,0.9368,0.8824,1.8783,0.189,1.189,-0.7307
77,success,3,30.645,4.1175,0.1344,7.4426,,,0.3169,-0.4301,0.5699,-0.1515,1.1554,0.8889,0.873,4.1551,-0.1312,0.8688,-0.5126
78,timeout,2,120.0026,3.6499,0.0304,32.8783,,,0.3476,0.3358,1.3358,-0.1419,1.105,0.8718,1.1593,3.8852,-0.0532,0.9468,0.1433
79,success,3,26.6673,3.2767,0.1229,8.1385,,,0.9879,0.4724,1.4724,-0.1063,0.9351,1.0545,0.967,4.1293,-0.0826,0.9174,-0.0889
80,success,3,28.2857,3.814,0.1348,7.4162,,,0.4354,0.4337,1.4337,-0.1206,1.1117,0.9341,0.9662,4.1343,-0.0408,0.9592,0.1547
81,timeout,2,120.0001,3.07,0.0256,39.0886,,,1.0171,0.6795,1.6795,0.0767,1.1865,1.0871,1.1596,3.8703,-0.0135,0.9865,0.1269
82,success,3,31.9509,3.7635,0.1178,8.4897,,,0.4641,0.0542,1.0542,0.0976,1.0662,0.8872,0.8933,4.1448,-0.1194,0.8806,-0.3293
83,collision,0,8.9503,0.8248,0.0922,10.8516,gate_pole,,1.2005,0.5513,1.5513,0.0907,0.8361,0.9158,1.0067,1.9429,0.2337,1.2337,-0.1903
84,success,3,25.8963,2.956,0.1141,8.7606,,,1.256,-0.1904,0.8096,-0.063,0.9554,1.0915,1.1295,4.1311,0.0421,1.0421,0.1258
85,collision,2,22.3437,2.6214,0.1173,8.5237,gate_pole,,1.3012,-0.0641,0.9359,0.1607,0.9887,0.974,0.8094,3.8824,0.0142,1.0142,-0.4562
86,success,3,22.8968,2.7571,0.1204,8.3046,,,1.4429,0.0272,1.0272,-0.1221,0.8203,0.9011,1.0912,4.1318,0.0253,1.0253,0.1524
87,success,3,43.6031,3.2492,0.0745,13.4197,,,1.1268,0.5381,1.5381,0.0326,1.1856,0.8301,1.1058,4.1366,0.0395,1.0395,0.2064
88,collision,0,11.3465,0.7114,0.0627,15.9499,gate_pole,,1.2361,0.4135,1.4135,0.0448,0.9141,0.8674,0.867,1.9063,0.1996,1.1996,-0.4549
89,timeout,0,120.0034,0.3547,0.003,338.3056,,,1.6122,-0.4911,0.5089,-0.0884,0.9783,0.9582,0.8118,1.7723,-0.2105,0.7895,0.8061
90,collision,0,12.255,0.3012,0.0246,40.6807,gate_pole,,1.6274,-0.1957,0.8043,-0.1836,1.1704,0.9851,1.0404,1.873,-0.0365,0.9635,0.6495
91,success,3,30.4795,3.939,0.1292,7.7378,,,0.3811,-0.1346,0.8654,-0.0239,0.885,0.9703,0.8402,4.1597,-0.2271,0.7729,-1.1483
92,collision,0,8.4955,0.4498,0.0529,18.8861,gate_pole,,1.597,0.6458,1.6458,0.0768,1.0488,1.1463,1.08,1.9849,0.4546,1.4546,-0.5576
93,success,3,31.2319,2.8121,0.09,11.1064,,,1.5604,-0.3208,0.6792,0.0127,1.0912,1.092,0.9759,4.1617,-0.1458,0.8542,-0.7074
94,success,3,26.1767,3.0671,0.1172,8.5347,,,1.1344,-0.0706,0.9294,-0.0718,1.133,0.9304,1.0749,4.1301,0.0136,1.0136,0.1011
95,success,3,25.8205,3.2787,0.127,7.8753,,,0.9024,0.0954,1.0954,0.1137,1.1183,0.9523,1.0507,4.1304,-0.0038,0.9962,0.1071
96,success,3,23.7616,3.8718,0.1629,6.137,,,0.3079,-0.0879,0.9121,0.0101,0.9603,1.0038,1.0949,4.1338,0.0443,1.0443,0.136
97,success,3,30.7919,3.3843,0.1099,9.0985,,,0.9649,0.5469,1.5469,0.1962,1.1473,0.9156,0.9918,4.1318,-0.0232,0.9768,0.1522
98,success,3,23.4545,2.9385,0.1253,7.9817,,,1.228,-0.0417,0.9583,0.1173,0.9571,0.9364,1.051,4.1335,-0.0052,0.9948,0.1527
99,success,3,21.1639,2.8553,0.1349,7.4122,,,1.3462,0.2987,1.2987,0.0912,1.0078,1.097,0.9894,4.1238,-0.0477,0.9523,-0.052
100,success,3,46.526,5.8869,0.1265,7.9032,,,1.3948,0.6039,1.6039,0.0894,1.1124,0.9733,0.9825,4.126,-0.0495,0.9505,0.0589
