episode,event,passed_gates,elapsed_s,path_length_m,avg_speed_mps,time_per_meter_s_per_m,collision_type,miss_direction,spawn_x,spawn_y_gz,spawn_y_train,spawn_theta,gate1_center_y_train,gate2_center_y_train,gate3_center_y_train,end_x,end_y_gz,end_y_train,end_theta
80,success,3,18.0106,3.7066,0.2058,4.859,,,0.4354,0.4337,1.4337,-0.1206,1.1117,0.9341,0.9662,4.1234,0.1913,1.1913,0.03
81,success,3,19.4064,3.2218,0.166,6.0235,,,1.0171,0.6795,1.6795,0.0767,1.1865,1.0871,1.1596,4.1222,-0.0795,0.9205,-0.0131
82,success,3,47.5129,8.2001,0.1726,5.7942,,,0.4641,0.0542,1.0542,0.0976,1.0662,0.8872,0.8933,4.1347,-0.1492,0.8508,-0.1879
83,success,3,16.4625,3.1325,0.1903,5.2553,,,1.2005,0.5513,1.5513,0.0907,0.8361,0.9158,1.0067,4.1413,-0.2085,0.7915,-0.2517
84,success,3,14.3757,2.6209,0.1823,5.4851,,,1.256,-0.1904,0.8096,-0.063,0.9554,1.0915,1.1295,4.1261,0.1585,1.1585,0.0588
85,success,3,14.742,2.7591,0.1872,5.343,,,1.3012,-0.0641,0.9359,0.1607,0.9887,0.974,0.8094,4.1372,0.0686,1.0686,0.1885
86,success,3,15.1,3.0526,0.2022,4.9467,,,1.4429,0.0272,1.0272,-0.1221,0.8203,0.9011,1.0912,4.1387,-0.1317,0.8683,-0.2029
87,success,3,18.5742,3.6533,0.1967,5.0842,,,1.1268,0.5381,1.5381,0.0326,1.1856,0.8301,1.1058,4.1405,0.181,1.181,0.2136
88,success,3,18.4098,3.587,0.1948,5.1323,,,1.2361,0.4135,1.4135,0.0448,0.9141,0.8674,0.867,4.1363,0.0332,1.0332,0.2135
89,success,3,16.3105,3.0751,0.1885,5.304,,,1.6122,-0.4911,0.5089,-0.0884,0.9783,0.9582,0.8118,4.1406,-0.2191,0.7809,-0.2623
90,success,3,14.1964,2.8345,0.1997,5.0084,,,1.6274,-0.1957,0.8043,-0.1836,1.1704,0.9851,1.0404,4.1367,-0.0195,0.9805,-0.2077
91,success,3,19.0603,3.7929,0.199,5.0252,,,0.3811,-0.1346,0.8654,-0.0239,0.885,0.9703,0.8402,4.1256,0.1998,1.1998,0.0597
92,success,3,17.2872,2.928,0.1694,5.9042,,,1.597,0.6458,1.6458,0.0768,1.0488,1.1463,1.08,4.1356,-0.0188,0.9812,-0.1872
93,success,3,19.0656,3.8179,0.2003,4.9937,,,1.5604,-0.3208,0.6792,0.0127,1.0912,1.092,0.9759,4.1243,0.0909,1.0909,-0.0149
94,success,3,13.8642,2.644,0.1907,5.2436,,,1.1344,-0.0706,0.9294,-0.0718,1.133,0.9304,1.0749,4.1339,0.1327,1.1327,0.1677
95,success,3,16.278,3.2416,0.1991,5.0216,,,0.9024,0.0954,1.0954,0.1137,1.1183,0.9523,1.0507,4.1288,-0.1362,0.8638,0.0764
96,success,3,18.7026,3.7642,0.2013,4.9685,,,0.3079,-0.0879,0.9121,0.0101,0.9603,1.0038,1.0949,4.1278,0.0266,1.0266,0.0527
97,success,3,18.0297,3.5279,0.1957,5.1106,,,0.9649,0.5469,1.5469,0.1962,1.1473,0.9156,0.9918,4.1414,0.2382,1.2382,0.2713
98,success,3,13.2089,2.5379,0.1921,5.2046,,,1.228,-0.0417,0.9583,0.1173,0.9571,0.9364,1.051,4.124,-0.08,0.92,-0.0327
99,success,3,19.2654,3.8957,0.2022,4.9453,,,1.3462,0.2987,1.2987,0.0912,1.0078,1.097,0.9894,4.1283,0.0117,1.0117,0.0692
100,success,3,16.2393,2.8325,0.1744,5.7331,,,1.3948,0.6039,1.6039,0.0894,1.1124,0.9733,0.9825,4.1439,-0.1905,0.8095,-0.2799
